N,level,district,province,pupils,schools,year
1,nursery,Gisagara,south,2358,32,2016
2,nursery,Huye,south,6067,101,2016
3,nursery,Kamonyi,south,5389,75,2016
4,nursery,Muhanga,south,7009,114,2016
5,nursery,Nyamagabe,south,5975,78,2016
6,nursery,Nyanza,south,7533,85,2016
7,nursery,Nyaruguru,south,2951,46,2016
8,nursery,Ruhango,south,4253,74,2016
9,nursery,Karongi,west,5437,87,2016
10,nursery,Ngororero,west,5728,89,2016
11,nursery,Nyabihu,west,3742,68,2016
12,nursery,Nyamasheke,west,6941,121,2016
13,nursery,Rubavu,west,6783,108,2016
14,nursery,Rusizi,west,8429,112,2016
15,nursery,Rutsiro,west,4713,95,2016
16,nursery,Bugesera,east,5573,76,2016
17,nursery,Gatsibo,east,7513,123,2016
18,nursery,Kayonza,east,2569,50,2016
19,nursery,Kirehe,east,4575,57,2016
20,nursery,Ngoma,east,5378,82,2016
21,nursery,Nyagatare,east,9686,144,2016
22,nursery,Rwamagana,east,6259,102,2016
23,nursery,Burera,north,6410,103,2016
24,nursery,Gakenke,north,8131,137,2016
25,nursery,Gicumbi,north,7626,154,2016
26,nursery,Musanze,north,7761,122,2016
27,nursery,Rulindo,north,7376,90,2016
28,nursery,Gasabo,kigali,11075,100,2016
29,nursery,Kicukiro,kigali,8239,92,2016
30,nursery,Nyarugenge,kigali,4187,40,2016
31,primary,Huye,south,69019,99,2016
32,primary,Kamonyi,south,84078,93,2016
33,primary,Muhanga,south,71346,117,2016
34,primary,Nyamagabe,south,88211,106,2016
35,primary,Nyanza,south,78846,82,2016
36,primary,Nyaruguru,south,75020,90,2016
37,primary,Ruhango,south,83015,75,2016
38,primary,Karongi,west,86426,128,2016
39,primary,Ngororero,west,87598,99,2016
40,primary,Nyabihu,west,73702,90,2016
41,primary,Nyamasheke,west,94775,139,2016
42,primary,Rubavu,west,98223,86,2016
43,primary,Rusizi,west,93689,119,2016
44,primary,Rutsiro,west,85045,93,2016
45,primary,Bugesera,east,88529,94,2016
46,primary,Gatsibo,east,112996,95,2016
47,primary,Kayonza,east,97320,96,2016
48,primary,Kirehe,east,100041,63,2016
49,primary,Ngoma,east,80250,76,2016
